frame_nmr,track_id,plate_bbox,det_conf,license_number,license_number_score,ocr_conf,vehicle_type,layout,raw_ocr
170,2,"83,402,225,507",0.930099,,0.0,0.0,,0,
171,2,"80,402,222,506",0.927813,,0.0,0.0,,0,
172,2,"75,400,220,506",0.927578,,0.0,0.0,,0,
173,2,"72,400,217,505",0.929996,,0.0,0.0,,0,
174,2,"68,400,214,505",0.930955,,0.0,0.0,,0,
175,2,"65,400,211,506",0.934729,,0.0,0.0,,0,
176,2,"63,401,207,503",0.930699,89-B1 349.25,9.361237,0.864495,motorbike,2,89-81|349.25
177,2,"54,399,204,506",0.926372,,0.0,0.0,,0,
178,2,"51,396,199,505",0.931695,89-B1 349.25,8.818734,0.647493,motorbike,2,89-81|349.25
179,2,"48,396,192,500",0.932516,,0.0,0.0,,0,
180,2,"43,392,188,499",0.93028,42L-349.25,6.660554,0.624221,car,2,4ZLEI|349.25
181,2,"37,390,182,494",0.935455,,0.0,0.0,,0,
181,3,"439,454,480,545",0.724174,,0.0,0.0,,0,
182,2,"25,387,176,495",0.934112,,0.0,0.0,,0,
182,3,"435,452,480,545",0.687942,,0.0,0.0,,0,
183,2,"21,385,167,492",0.935578,,0.0,0.0,,0,
183,3,"427,449,480,546",0.84037,,0.0,0.0,,0,
184,2,"14,382,163,489",0.931975,47A-349.25,8.846037,0.658415,car,2,474|34925
184,3,"421,447,479,542",0.897951,,0.0,0.0,,0,
185,2,"6,379,156,486",0.931738,,0.0,0.0,,0,
185,3,"416,445,479,540",0.908259,,0.0,0.0,,0,
186,2,"4,377,149,483",0.933114,73U-349.25,8.698341,0.479336,car,2,73U|34925
186,3,"407,442,479,537",0.913594,,0.0,0.0,,0,
187,2,"2,373,144,483",0.930571,,0.0,0.0,,0,
187,3,"401,436,479,535",0.921353,,0.0,0.0,,0,
188,2,"0,372,137,479",0.929725,89-B7 349.25,8.994974,0.717989,motorbike,2,89-87|34925
188,3,"394,434,479,533",0.91238,,0.0,0.0,,0,
189,2,"0,369,132,476",0.92963,,0.0,0.0,,0,
189,3,"389,433,479,531",0.923564,,0.0,0.0,,0,
